monto,plazo_meses,sexo,educacion,edo_civil,edad,saldo,default
100000,20,mujer,secundaria,divorciado,29,556690,0
300000,23,hombre,primaria,casado,38,2285,0
500000,52,mujer,primaria,divorciado,35,257839,0
360000,21,mujer,secundaria,casado,52,35931,0
160000,29,mujer,primaria,divorciado,29,0,0
50000,27,mujer,secundaria,divorciado,23,311030,1
230000,37,mujer,secundaria,casado,34,1119098,1
200000,47,mujer,secundaria,divorciado,34,28616,0
270000,17,hombre,primaria,casado,44,1694571,0
50000,58,mujer,secundaria,casado,36,266568,0
20000,36,hombre,secundaria,divorciado,28,109152,0
60000,51,mujer,secundaria,divorciado,31,282056,0
50000,42,hombre,secundaria,divorciado,31,90022,0
50000,50,hombre,secundaria,casado,41,123510,0
130000,55,mujer,universitaria,casado,44,639108,0
230000,19,mujer,universitaria,divorciado,47,689919,0
20000,50,hombre,secundaria,divorciado,25,18521,0
30000,13,mujer,primaria,divorciado,25,126462,0
200000,53,mujer,primaria,casado,39,61068,0
140000,26,mujer,secundaria,casado,24,22502,0
100000,13,mujer,secundaria,casado,35,609227,1
240000,48,hombre,secundaria,casado,32,841361,1
70000,35,mujer,primaria,divorciado,31,14400,1
360000,20,hombre,primaria,divorciado,33,301864,0
140000,36,mujer,primaria,divorciado,30,874090,0
50000,43,hombre,secundaria,casado,52,12216,0
210000,26,mujer,secundaria,casado,36,9286,0
280000,45,hombre,primaria,divorciado,30,996425,0
180000,36,mujer,secundaria,divorciado,42,329826,1
150000,37,mujer,primaria,divorciado,30,39074,0
20000,26,hombre,universitaria,casado,47,113708,0
350000,50,mujer,secundaria,casado,29,79193,0
130000,30,mujer,primaria,divorciado,23,107577,0
470000,43,hombre,universitaria,casado,39,789,0
340000,51,mujer,secundaria,casado,48,23862,0
80000,31,hombre,secundaria,divorciado,26,481717,0
70000,40,hombre,primaria,divorciado,33,192504,0
230000,50,mujer,secundaria,casado,44,33193,0
180000,21,mujer,secundaria,casado,36,165125,0
210000,46,mujer,secundaria,casado,39,193000,0
20000,50,hombre,secundaria,divorciado,24,3900,0
140000,54,mujer,secundaria,divorciado,25,681077,0
200000,17,hombre,primaria,divorciado,52,665711,0
50000,45,mujer,universitaria,casado,59,167211,0
80000,42,mujer,primaria,divorciado,23,34596,0
30000,31,mujer,universitaria,divorciado,48,49493,0
140000,45,mujer,primaria,divorciado,28,92363,1
80000,16,hombre,universitaria,casado,62,48217,0
220000,56,mujer,universitaria,casado,38,226924,0
180000,57,mujer,primaria,divorciado,32,7992,0
140000,31,mujer,secundaria,casado,29,368751,1
180000,49,hombre,secundaria,divorciado,25,78016,1
50000,20,mujer,secundaria,divorciado,35,105787,0
170000,31,mujer,secundaria,divorciado,27,483768,0
50000,44,hombre,secundaria,divorciado,38,184199,0
50000,52,hombre,secundaria,divorciado,24,149226,0
300000,54,hombre,secundaria,casado,29,874,0
390000,18,mujer,primaria,divorciado,27,2043835,0
90000,23,mujer,secundaria,casado,55,350873,1
200000,33,mujer,primaria,divorciado,29,1222299,0
460000,13,hombre,primaria,divorciado,29,2171329,0
10000,58,hombre,secundaria,divorciado,23,17741,0
20000,38,hombre,secundaria,casado,30,16636,1
50000,48,mujer,secundaria,casado,50,14428,0
480000,31,mujer,secundaria,casado,38,352397,0
180000,51,mujer,primaria,divorciado,24,1069540,0
240000,29,mujer,primaria,divorciado,29,24186,0
250000,38,hombre,primaria,divorciado,38,49659,0
270000,31,mujer,secundaria,divorciado,34,39499,1
200000,30,hombre,primaria,casado,37,401098,0
100000,59,mujer,universitaria,casado,66,616634,0
160000,48,mujer,primaria,casado,39,9541,0
80000,18,mujer,secundaria,casado,45,329113,0
130000,46,hombre,secundaria,casado,44,102116,0
340000,34,mujer,universitaria,divorciado,44,917559,1
360000,45,hombre,primaria,casado,36,23183,0
120000,16,mujer,universitaria,casado,40,517296,0
120000,34,hombre,primaria,divorciado,29,193425,0
300000,35,mujer,primaria,divorciado,48,1353536,0
60000,41,mujer,secundaria,divorciado,23,57406,0
210000,21,mujer,secundaria,casado,50,650485,0
210000,24,mujer,secundaria,casado,29,533073,1
70000,49,mujer,universitaria,casado,49,146907,1
200000,47,hombre,secundaria,casado,33,122620,0
230000,50,mujer,secundaria,casado,51,356201,1
20000,20,hombre,universitaria,casado,23,125554,1
210000,24,mujer,primaria,casado,37,1221933,0
160000,23,mujer,universitaria,divorciado,26,4680,0
290000,39,mujer,primaria,casado,30,51106,1
80000,55,mujer,universitaria,casado,26,293172,0
360000,47,hombre,primaria,divorciado,43,23854,0
230000,53,hombre,primaria,divorciado,32,762840,0
360000,40,hombre,universitaria,casado,54,159230,0
340000,40,mujer,primaria,casado,30,1675589,0
50000,17,mujer,primaria,divorciado,22,65790,0
80000,22,hombre,secundaria,divorciado,38,385665,0
50000,26,mujer,secundaria,divorciado,24,223753,0
30000,56,mujer,primaria,divorciado,24,62191,0
210000,39,hombre,primaria,divorciado,26,24113,0
150000,38,mujer,secundaria,casado,42,47119,1
20000,54,hombre,secundaria,divorciado,21,44557,0
20000,57,hombre,universitaria,divorciado,22,37596,1
240000,31,mujer,universitaria,casado,41,16394,0
500000,51,mujer,secundaria,casado,50,412857,0
90000,49,mujer,secundaria,casado,23,115339,1
50000,18,hombre,universitaria,divorciado,46,166819,0
50000,21,mujer,secundaria,divorciado,22,250384,1
680000,12,hombre,primaria,divorciado,37,419385,0
50000,60,hombre,primaria,casado,47,307706,0
100000,23,mujer,secundaria,casado,40,4564,0
280000,49,mujer,primaria,divorciado,30,1897013,0
30000,30,hombre,secundaria,divorciado,54,139786,1
50000,29,hombre,secundaria,divorciado,27,160823,1
60000,45,hombre,primaria,casado,33,93139,0
120000,18,hombre,secundaria,casado,57,651761,1
80000,46,mujer,secundaria,casado,35,51744,0
500000,20,hombre,primaria,casado,45,1284,0
70000,34,mujer,universitaria,casado,32,101969,0
160000,21,mujer,secundaria,casado,45,2936,0
100000,33,mujer,universitaria,casado,50,631108,1
10000,53,hombre,universitaria,divorciado,35,60822,0
90000,42,hombre,primaria,divorciado,26,76037,0
170000,54,hombre,primaria,casado,39,524538,1
90000,43,mujer,secundaria,divorciado,35,8001,0
180000,29,mujer,universitaria,divorciado,42,561322,0
350000,23,mujer,primaria,casado,52,14400,1
270000,38,hombre,secundaria,divorciado,35,740169,0
200000,26,mujer,primaria,divorciado,29,172003,1
20000,59,mujer,primaria,divorciado,22,107068,0
100000,55,hombre,secundaria,divorciado,30,287688,0
290000,54,hombre,primaria,casado,46,950498,0
70000,34,hombre,universitaria,divorciado,28,422746,0
230000,36,hombre,primaria,divorciado,26,4831,0
180000,55,mujer,primaria,divorciado,28,91972,0
210000,26,hombre,primaria,divorciado,33,3792,0
50000,47,hombre,primaria,divorciado,24,207973,0
150000,44,hombre,primaria,divorciado,37,304287,0
380000,37,hombre,secundaria,casado,50,1796471,1
50000,14,hombre,secundaria,casado,44,208973,0
150000,43,mujer,universitaria,casado,43,6620,1
220000,45,hombre,secundaria,divorciado,29,748201,0
80000,18,mujer,maestria,divorciado,27,291804,0
220000,37,mujer,secundaria,casado,32,1285303,0
70000,38,mujer,secundaria,divorciado,34,174002,0
120000,19,hombre,secundaria,divorciado,37,114268,1
180000,44,mujer,secundaria,divorciado,32,195345,0
50000,42,mujer,universitaria,casado,57,305664,0
10000,31,mujer,secundaria,viudo,46,60598,0
370000,12,mujer,primaria,casado,53,193257,0
20000,56,mujer,primaria,divorciado,26,24138,0
150000,40,hombre,secundaria,casado,34,863682,0
20000,60,hombre,primaria,divorciado,26,5708,1
480000,56,mujer,secundaria,casado,54,37737,0
50000,30,hombre,universitaria,divorciado,26,186316,0
170000,17,hombre,secundaria,divorciado,31,173331,0
400000,55,mujer,secundaria,divorciado,30,14004,0
200000,19,mujer,primaria,divorciado,31,302363,0
360000,48,hombre,primaria,divorciado,34,359,0
140000,44,mujer,maestria,divorciado,36,626488,0
260000,55,hombre,universitaria,casado,34,33333,0
440000,51,mujer,secundaria,divorciado,26,430190,0
500000,14,hombre,secundaria,casado,43,147998,0
230000,38,mujer,secundaria,casado,29,344245,0
470000,57,hombre,secundaria,casado,41,200051,0
20000,42,mujer,universitaria,casado,48,80409,1
210000,15,mujer,secundaria,divorciado,24,642125,0
20000,40,mujer,primaria,divorciado,23,87101,0
20000,22,mujer,universitaria,casado,53,92462,0
200000,45,mujer,secundaria,casado,34,102501,0
250000,55,mujer,secundaria,divorciado,36,143510,1
300000,36,hombre,secundaria,divorciado,41,122552,0
320000,15,mujer,primaria,divorciado,30,587623,0
50000,43,hombre,secundaria,divorciado,29,241831,0
200000,53,mujer,secundaria,casado,34,50144,0
80000,34,mujer,primaria,divorciado,29,121433,1
70000,40,hombre,secundaria,casado,37,55550,1
60000,55,hombre,universitaria,divorciado,36,283583,0
10000,22,mujer,universitaria,divorciado,22,60379,1
50000,59,mujer,universitaria,divorciado,30,240840,0
140000,13,hombre,secundaria,divorciado,26,770073,1
30000,26,hombre,secundaria,divorciado,25,58962,0
190000,14,hombre,secundaria,casado,49,488842,0
70000,30,mujer,primaria,divorciado,23,31469,0
330000,28,mujer,secundaria,casado,28,4670,0
110000,15,mujer,secundaria,divorciado,24,68618,0
270000,12,hombre,universitaria,casado,47,1080062,0
160000,46,hombre,secundaria,casado,31,189207,1
20000,21,hombre,secundaria,divorciado,24,114195,0
320000,38,hombre,secundaria,divorciado,32,166061,0
430000,18,hombre,primaria,divorciado,31,211687,0
50000,51,mujer,primaria,casado,37,54358,0
140000,14,hombre,secundaria,casado,48,23872,1
500000,27,hombre,secundaria,casado,49,326968,0
80000,28,hombre,universitaria,casado,45,178111,0
390000,25,mujer,primaria,casado,34,2532,0
250000,46,mujer,primaria,casado,43,197220,0
390000,53,mujer,primaria,divorciado,31,218894,0
100000,26,mujer,primaria,casado,35,385759,0
360000,39,mujer,primaria,casado,42,1251589,0
140000,20,hombre,primaria,divorciado,36,67075,0
110000,23,hombre,secundaria,casado,51,306596,0
170000,39,hombre,universitaria,casado,48,4092,0
170000,19,hombre,secundaria,casado,48,809544,0
180000,49,mujer,secundaria,divorciado,25,47714,0
140000,49,hombre,secundaria,casado,41,702014,0
20000,36,mujer,secundaria,casado,49,109557,0
150000,39,hombre,primaria,divorciado,28,0,0
50000,50,mujer,secundaria,divorciado,28,191608,0
160000,26,mujer,secundaria,casado,38,0,1
80000,13,hombre,secundaria,casado,41,17937,0
300000,38,mujer,universitaria,divorciado,29,66138,1
60000,39,mujer,universitaria,divorciado,32,211447,0
70000,20,mujer,secundaria,divorciado,26,286302,1
290000,15,mujer,primaria,divorciado,31,210693,0
80000,58,mujer,primaria,divorciado,23,15143,0
50000,52,mujer,universitaria,casado,53,0,1
200000,53,mujer,universitaria,divorciado,49,241893,0
200000,13,mujer,primaria,casado,34,56807,0
50000,53,mujer,primaria,divorciado,22,28147,1
20000,24,mujer,secundaria,divorciado,26,63548,0
200000,44,hombre,primaria,casado,38,68211,1
120000,37,mujer,primaria,divorciado,35,494770,0
220000,13,mujer,secundaria,casado,49,1033438,0
630000,21,hombre,primaria,divorciado,40,2432186,0
300000,15,mujer,primaria,divorciado,34,91160,0
10000,20,mujer,secundaria,divorciado,49,28269,1
50000,32,hombre,secundaria,divorciado,29,0,0
280000,12,mujer,primaria,casado,39,23323,1
130000,12,hombre,primaria,divorciado,30,33086,0
30000,35,mujer,universitaria,casado,28,111816,0
50000,57,mujer,secundaria,casado,27,49533,0
70000,17,mujer,universitaria,casado,38,126420,0
80000,21,hombre,secundaria,divorciado,29,278980,0
20000,27,mujer,secundaria,casado,22,89227,1
390000,33,hombre,primaria,casado,41,1599863,0
470000,22,mujer,secundaria,divorciado,32,708239,0
240000,16,mujer,secundaria,divorciado,30,26793,0
140000,44,mujer,primaria,divorciado,29,20719,0
260000,14,mujer,secundaria,casado,37,1288402,1
150000,37,mujer,primaria,divorciado,25,27197,0
120000,22,hombre,primaria,casado,46,114799,0
20000,12,mujer,secundaria,casado,47,119303,0
260000,17,mujer,especializacion,divorciado,42,6819,0
50000,48,hombre,universitaria,divorciado,22,132125,1
180000,55,mujer,secundaria,divorciado,27,787140,0
310000,27,mujer,maestria,casado,35,10350,0
360000,31,hombre,secundaria,casado,44,112003,0
180000,14,mujer,secundaria,divorciado,30,147025,0
270000,34,mujer,primaria,casado,42,6000,0
70000,20,hombre,primaria,divorciado,28,305531,0
50000,24,hombre,secundaria,divorciado,24,86836,0
30000,29,mujer,universitaria,divorciado,50,21016,0
50000,51,mujer,secundaria,casado,54,42123,0
350000,19,hombre,secundaria,casado,37,37264,0
200000,50,hombre,primaria,casado,58,922037,0
80000,53,hombre,universitaria,divorciado,26,462438,0
60000,33,mujer,secundaria,casado,31,343744,0
30000,42,hombre,primaria,casado,52,116202,0
110000,32,mujer,primaria,divorciado,36,442211,0
300000,39,mujer,primaria,divorciado,27,790770,0
50000,13,mujer,universitaria,casado,22,129466,0
500000,29,hombre,primaria,divorciado,39,102209,0
360000,36,hombre,primaria,divorciado,36,1327573,0
20000,36,mujer,secundaria,casado,39,49597,0
220000,57,hombre,primaria,casado,39,883383,0
20000,58,mujer,secundaria,divorciado,22,98720,0
60000,41,hombre,secundaria,casado,37,189809,1
170000,12,mujer,primaria,divorciado,30,307295,0
200000,40,mujer,secundaria,casado,26,242865,0
20000,59,mujer,primaria,divorciado,23,112698,0
140000,36,mujer,universitaria,divorciado,23,235451,0
330000,56,mujer,primaria,divorciado,35,66493,0
180000,27,mujer,secundaria,divorciado,24,658243,1
360000,38,mujer,secundaria,casado,35,21468,0
20000,47,hombre,universitaria,casado,51,105229,0
50000,34,mujer,primaria,divorciado,23,120477,0
100000,56,mujer,secundaria,casado,25,143524,0
30000,43,hombre,secundaria,casado,36,179985,0
70000,52,mujer,secundaria,casado,44,61818,1
470000,30,hombre,primaria,divorciado,33,254018,0
300000,32,mujer,primaria,casado,36,8277,0
300000,26,mujer,primaria,casado,45,110082,1
200000,46,mujer,primaria,divorciado,26,32104,0
150000,23,mujer,secundaria,casado,41,504884,0
220000,31,mujer,secundaria,divorciado,25,890822,1
420000,34,hombre,primaria,divorciado,31,21587,0
210000,51,mujer,secundaria,divorciado,45,8311,0
450000,42,hombre,universitaria,casado,58,58346,0
30000,41,hombre,secundaria,casado,38,14538,0
240000,14,hombre,secundaria,casado,30,94413,0
420000,44,mujer,secundaria,divorciado,25,719942,0
60000,45,mujer,primaria,divorciado,25,309512,0
30000,30,mujer,universitaria,divorciado,24,63512,0
80000,44,mujer,primaria,divorciado,29,7553,0
50000,41,hombre,secundaria,divorciado,37,303352,0
230000,19,hombre,universitaria,divorciado,27,139752,0
200000,50,hombre,primaria,divorciado,31,265014,0
230000,35,mujer,secundaria,divorciado,28,183559,0
130000,35,mujer,secundaria,divorciado,24,464567,0
200000,12,mujer,universitaria,divorciado,27,0,0
90000,26,mujer,primaria,divorciado,33,256091,0
120000,26,hombre,primaria,divorciado,27,41851,0
200000,17,hombre,primaria,divorciado,42,17214,0
20000,46,mujer,secundaria,divorciado,32,113537,0
210000,60,mujer,primaria,casado,37,498505,1
80000,23,mujer,secundaria,divorciado,44,417239,0
50000,55,mujer,primaria,casado,29,187056,0
70000,30,mujer,secundaria,casado,42,332498,1
230000,40,hombre,secundaria,divorciado,32,1140236,1
20000,17,hombre,secundaria,divorciado,52,100770,0
30000,58,hombre,secundaria,divorciado,44,54080,0
100000,38,hombre,primaria,divorciado,31,217601,1
80000,39,mujer,primaria,divorciado,29,512072,1
210000,40,hombre,secundaria,divorciado,33,1230875,0
50000,58,hombre,secundaria,divorciado,54,211681,0
130000,55,mujer,secundaria,divorciado,23,624957,0
70000,28,mujer,primaria,divorciado,24,329404,0
210000,14,mujer,primaria,casado,33,87758,0
100000,16,hombre,universitaria,casado,44,4290,1
200000,54,hombre,universitaria,soltero,51,53369,0
40000,20,hombre,primaria,divorciado,24,187284,1
80000,21,mujer,secundaria,divorciado,25,448098,0
210000,25,mujer,primaria,casado,37,4348,1
20000,58,mujer,secundaria,divorciado,23,74111,0
10000,44,hombre,universitaria,divorciado,34,61421,0
60000,32,mujer,universitaria,casado,50,294539,1
40000,26,mujer,secundaria,casado,25,84219,0
290000,28,mujer,primaria,divorciado,33,14499,1
50000,28,hombre,secundaria,casado,54,13749,0
20000,35,hombre,secundaria,divorciado,25,100857,0
30000,30,hombre,secundaria,divorciado,26,201426,0
20000,41,hombre,secundaria,casado,32,120172,0
50000,35,mujer,universitaria,viudo,43,145556,0
500000,54,hombre,secundaria,casado,42,34101,1
90000,43,mujer,universitaria,divorciado,24,38593,1
10000,16,hombre,secundaria,divorciado,26,68742,0
50000,26,mujer,secundaria,casado,37,6300,1
120000,40,hombre,primaria,divorciado,36,180802,0
200000,32,mujer,primaria,divorciado,27,941166,0
300000,23,mujer,secundaria,casado,50,601933,0
90000,20,mujer,secundaria,divorciado,24,182809,0
90000,33,hombre,secundaria,casado,27,378295,0
140000,48,mujer,primaria,divorciado,23,0,1
180000,42,mujer,secundaria,casado,39,4204,0
360000,23,hombre,primaria,casado,39,9593,0
160000,54,mujer,universitaria,divorciado,29,13430,1
100000,57,hombre,primaria,casado,45,121445,0
20000,29,hombre,secundaria,divorciado,21,85474,1
360000,43,hombre,primaria,casado,36,800478,0
230000,53,hombre,secundaria,divorciado,39,4238,0
110000,15,mujer,universitaria,divorciado,29,665849,1
210000,40,hombre,secundaria,divorciado,37,939598,0
200000,40,hombre,secundaria,divorciado,26,87643,0
50000,16,hombre,secundaria,divorciado,44,85371,0
210000,41,mujer,primaria,divorciado,30,99050,1
280000,43,hombre,primaria,divorciado,31,30329,0
500000,54,hombre,secundaria,casado,40,717074,0
30000,23,mujer,primaria,divorciado,25,22981,0
340000,60,mujer,secundaria,casado,36,835561,0
360000,38,hombre,primaria,divorciado,32,36401,0
70000,35,mujer,primaria,divorciado,22,263962,0
20000,28,mujer,secundaria,viudo,44,13800,1
230000,21,hombre,primaria,divorciado,32,301071,0
60000,46,hombre,secundaria,casado,41,178376,0
50000,15,hombre,primaria,divorciado,28,297654,1
50000,31,mujer,primaria,divorciado,29,83820,1
130000,32,mujer,especializacion,divorciado,28,242421,0
160000,33,hombre,universitaria,divorciado,52,695598,0
60000,30,mujer,universitaria,divorciado,48,246734,0
160000,30,hombre,secundaria,divorciado,43,76098,0
180000,40,mujer,primaria,divorciado,25,330715,0
170000,14,hombre,secundaria,casado,36,443572,0
360000,23,mujer,secundaria,divorciado,35,1921322,1
130000,18,mujer,secundaria,casado,34,366846,0
180000,43,mujer,secundaria,divorciado,48,42448,0
20000,56,hombre,primaria,divorciado,27,64636,0
230000,18,mujer,secundaria,casado,43,78352,0
220000,47,mujer,secundaria,casado,30,0,0
240000,45,hombre,secundaria,casado,43,0,0
50000,14,hombre,universitaria,casado,54,205863,0
310000,19,mujer,secundaria,casado,39,68832,0
350000,45,hombre,primaria,casado,70,388818,0
50000,33,mujer,primaria,divorciado,24,6901,0
200000,54,mujer,secundaria,casado,30,312708,0
480000,53,hombre,universitaria,divorciado,53,2936385,0
180000,36,mujer,primaria,casado,27,393523,1
200000,15,mujer,secundaria,divorciado,33,1065458,0
20000,49,hombre,universitaria,casado,34,112236,0
50000,52,hombre,secundaria,divorciado,48,224759,0
210000,14,mujer,universitaria,divorciado,33,19328,1
20000,26,mujer,secundaria,divorciado,24,118248,0
150000,23,mujer,secundaria,casado,31,44823,0
50000,18,mujer,secundaria,divorciado,25,266765,0
190000,45,hombre,universitaria,casado,49,1135809,1
290000,53,mujer,primaria,divorciado,27,1619389,0
420000,24,hombre,secundaria,casado,39,816789,0
340000,38,mujer,secundaria,divorciado,36,794604,0
60000,15,hombre,secundaria,divorciado,40,63554,0
90000,34,mujer,primaria,divorciado,27,418720,0
30000,34,mujer,primaria,divorciado,27,198204,1
160000,36,mujer,secundaria,casado,37,6299,0
20000,53,hombre,secundaria,divorciado,35,82321,0
90000,48,mujer,secundaria,casado,25,488722,1
120000,58,hombre,primaria,divorciado,27,126520,0
120000,53,hombre,primaria,divorciado,38,-6594,0
360000,49,mujer,secundaria,casado,50,17267,0
160000,40,mujer,primaria,divorciado,32,22029,0
320000,15,mujer,primaria,casado,34,212979,0
20000,42,hombre,secundaria,divorciado,25,125825,0
230000,30,mujer,primaria,divorciado,29,412980,0
50000,27,hombre,universitaria,casado,44,113659,0
50000,38,hombre,universitaria,casado,48,184703,0
40000,13,mujer,universitaria,divorciado,24,85537,0
120000,13,mujer,universitaria,casado,27,5610,0
130000,54,mujer,secundaria,divorciado,25,22813,1
110000,43,mujer,universitaria,divorciado,28,516520,0
20000,32,hombre,secundaria,divorciado,22,61591,1
50000,51,hombre,universitaria,divorciado,22,0,0
120000,27,mujer,universitaria,casado,30,732086,0
50000,37,hombre,universitaria,divorciado,34,104175,0
360000,36,mujer,secundaria,divorciado,34,1400,1
240000,18,mujer,secundaria,casado,44,47673,1
150000,22,hombre,primaria,divorciado,32,130721,0
50000,53,mujer,secundaria,divorciado,23,195846,0
500000,47,mujer,primaria,divorciado,42,56322,1
110000,13,mujer,secundaria,casado,33,708647,0
170000,52,hombre,secundaria,casado,48,627298,1
230000,40,mujer,secundaria,casado,29,214151,0
20000,22,mujer,universitaria,viudo,47,74953,0
100000,35,mujer,primaria,casado,41,36298,0
110000,41,hombre,primaria,divorciado,28,267157,0
340000,40,hombre,primaria,casado,52,348082,1
50000,55,hombre,primaria,divorciado,37,210038,0
310000,30,hombre,primaria,casado,50,27702,0
50000,23,mujer,universitaria,casado,31,251807,1
240000,21,mujer,universitaria,casado,38,700953,1
50000,36,mujer,secundaria,casado,48,88955,0
150000,27,mujer,primaria,divorciado,34,37037,0
140000,38,hombre,secundaria,divorciado,44,664180,0
30000,46,mujer,universitaria,casado,56,153750,0
300000,28,mujer,primaria,casado,30,584700,1
50000,34,hombre,primaria,divorciado,29,23665,0
280000,44,mujer,secundaria,casado,37,222422,0
120000,20,mujer,secundaria,divorciado,23,615150,0
30000,16,mujer,primaria,casado,27,21449,0
30000,33,mujer,secundaria,divorciado,23,83974,1
180000,56,hombre,universitaria,casado,45,145511,0
150000,51,hombre,secundaria,casado,33,80094,0
110000,37,mujer,secundaria,casado,40,336085,0
50000,50,hombre,primaria,divorciado,24,234245,1
230000,42,mujer,universitaria,casado,43,25894,0
230000,58,mujer,secundaria,divorciado,25,569733,0
160000,18,mujer,primaria,divorciado,46,23834,0
50000,45,hombre,universitaria,divorciado,36,214085,0
210000,29,mujer,primaria,casado,36,23960,0
120000,26,mujer,secundaria,casado,38,30420,0
240000,33,mujer,secundaria,casado,42,350543,0
20000,30,hombre,universitaria,viudo,47,119470,0
50000,48,mujer,universitaria,divorciado,40,49399,0
50000,47,mujer,primaria,divorciado,70,206158,0
50000,57,mujer,secundaria,casado,32,162709,0
100000,22,hombre,universitaria,divorciado,52,182980,0
390000,34,mujer,primaria,casado,49,281008,0
550000,15,hombre,primaria,divorciado,31,212695,0
450000,16,mujer,secundaria,divorciado,36,55545,0
80000,35,mujer,secundaria,casado,50,263550,0
50000,14,mujer,universitaria,casado,48,56776,0
50000,22,mujer,secundaria,divorciado,33,244772,0
180000,23,hombre,secundaria,casado,44,452417,0
240000,51,hombre,primaria,divorciado,35,149859,0
320000,41,mujer,universitaria,divorciado,29,7300,0
480000,38,mujer,secundaria,casado,35,1015332,0
150000,51,mujer,secundaria,casado,37,22050,0
110000,52,mujer,primaria,divorciado,29,651532,0
240000,16,hombre,primaria,divorciado,30,95456,0
50000,28,hombre,primaria,divorciado,33,177434,1
120000,23,hombre,secundaria,divorciado,27,26278,0
150000,23,mujer,primaria,casado,31,0,0
100000,56,mujer,universitaria,divorciado,53,380652,0
260000,38,mujer,secundaria,divorciado,38,6766,0
250000,59,mujer,secundaria,divorciado,26,62000,0
100000,25,mujer,secundaria,divorciado,26,45030,0
160000,24,hombre,primaria,casado,51,507064,1
270000,56,mujer,primaria,casado,37,130927,1
390000,34,mujer,secundaria,divorciado,42,151914,0
210000,56,mujer,secundaria,casado,43,531992,0
30000,17,mujer,secundaria,divorciado,23,153181,0
300000,26,mujer,universitaria,casado,30,128322,0
190000,16,mujer,universitaria,casado,38,621036,0
130000,30,mujer,primaria,casado,35,8274,1
360000,60,hombre,secundaria,casado,44,1026121,0
320000,51,hombre,primaria,casado,35,15731,1
20000,41,hombre,secundaria,viudo,35,0,1
360000,38,hombre,primaria,casado,32,15779,0
190000,13,mujer,secundaria,divorciado,25,824620,0
90000,34,mujer,secundaria,divorciado,33,295265,1
30000,56,mujer,primaria,divorciado,26,42479,0
240000,21,hombre,primaria,divorciado,29,1262170,0
40000,41,mujer,primaria,divorciado,26,95589,0
170000,38,hombre,secundaria,divorciado,36,144679,0
180000,21,hombre,primaria,divorciado,37,212595,0
20000,48,hombre,universitaria,casado,63,105526,1
150000,55,mujer,universitaria,casado,48,256964,0
50000,13,mujer,secundaria,casado,47,110325,1
140000,42,mujer,universitaria,casado,31,577643,0
50000,55,hombre,universitaria,divorciado,31,193482,0
200000,14,hombre,primaria,divorciado,34,578031,0
100000,19,mujer,primaria,casado,43,248454,0
250000,48,mujer,primaria,divorciado,32,110245,0
80000,40,mujer,primaria,divorciado,38,18595,0
170000,30,mujer,secundaria,casado,50,753802,0
80000,51,hombre,universitaria,divorciado,29,305231,0
50000,56,hombre,secundaria,casado,49,258125,0
30000,12,mujer,universitaria,divorciado,40,156100,0
70000,50,mujer,primaria,divorciado,34,323158,1
30000,34,mujer,universitaria,casado,47,17930,0
200000,33,hombre,primaria,casado,34,21023,0
100000,17,mujer,secundaria,divorciado,27,14143,0
20000,29,hombre,secundaria,divorciado,44,105475,1
200000,15,hombre,primaria,divorciado,29,2290,0
50000,29,hombre,universitaria,casado,72,240503,1
50000,47,hombre,secundaria,casado,48,194233,1
50000,49,mujer,primaria,divorciado,27,249112,1
220000,50,hombre,secundaria,casado,44,1146325,0
240000,50,mujer,universitaria,casado,39,3708,0
50000,46,hombre,primaria,casado,40,118476,0
500000,35,mujer,primaria,casado,45,186298,0
170000,36,hombre,primaria,divorciado,26,58147,0
30000,25,hombre,primaria,casado,34,5220,0
300000,59,hombre,primaria,casado,43,0,1
50000,45,hombre,secundaria,divorciado,30,199510,0
100000,29,mujer,universitaria,casado,31,30920,0
150000,60,mujer,primaria,divorciado,29,484271,1
50000,57,hombre,primaria,divorciado,28,268537,0
190000,36,mujer,secundaria,divorciado,31,34043,0
20000,28,mujer,universitaria,divorciado,22,33645,0
50000,59,mujer,universitaria,casado,55,303574,0
30000,29,mujer,secundaria,casado,39,13830,1
90000,50,mujer,primaria,divorciado,27,18667,0
500000,53,mujer,primaria,divorciado,36,23411,1
280000,20,hombre,primaria,casado,40,91124,0
30000,40,hombre,secundaria,casado,31,27523,0
90000,15,mujer,secundaria,casado,36,320363,0
200000,12,hombre,secundaria,casado,42,157776,1
100000,52,hombre,secundaria,divorciado,30,7071,0
20000,48,hombre,universitaria,divorciado,40,100055,0
50000,12,hombre,secundaria,casado,51,214218,0
50000,47,mujer,secundaria,viudo,51,24567,0
290000,14,hombre,universitaria,divorciado,32,237479,0
220000,59,mujer,primaria,divorciado,36,4897,0
440000,44,hombre,primaria,casado,37,67919,0
50000,57,hombre,secundaria,divorciado,49,592148,1
300000,44,hombre,primaria,divorciado,31,61643,0
290000,23,mujer,primaria,casado,50,700928,0
390000,44,hombre,secundaria,casado,40,1726286,0
50000,60,mujer,secundaria,divorciado,24,176653,0
220000,15,mujer,secundaria,divorciado,31,260144,1
150000,54,mujer,secundaria,divorciado,29,20237,0
50000,17,hombre,primaria,divorciado,24,357968,0
200000,13,hombre,primaria,casado,44,667,0
120000,30,mujer,secundaria,divorciado,30,101146,0
230000,14,mujer,primaria,casado,61,17316,0
180000,32,mujer,secundaria,casado,28,650171,0
